learner_id,content_id,topic,difficulty,time_spent_sec,correct
"GP;""F"";18;""U"";""GT3"";""A"";4;4;""at_home"";""teacher"";""course"";""mother"";2;2;0;""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;3;4;1;1;3;4;""0"";""11"";11",C000000,ml,0.7974985324239087,76,0
"GP;""F"";17;""U"";""GT3"";""T"";1;1;""at_home"";""other"";""course"";""father"";1;2;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";5;3;3;1;1;3;2;""9"";""11"";11",C000001,graphs,0.6414488814994487,419,0
"GP;""F"";15;""U"";""LE3"";""T"";1;1;""at_home"";""other"";""other"";""mother"";1;2;0;""yes"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;3;2;2;3;3;6;""12"";""13"";12",C000002,ai,0.33810709775400083,925,1
"GP;""F"";15;""U"";""GT3"";""T"";4;2;""health"";""services"";""home"";""mother"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";3;2;2;1;1;5;0;""14"";""14"";14",C000003,trees,0.32209312058159484,759,0
"GP;""F"";16;""U"";""GT3"";""T"";3;3;""other"";""other"";""home"";""father"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;3;2;1;2;5;0;""11"";""13"";13",C000004,ml,0.3803112712803799,507,0
"GP;""M"";16;""U"";""LE3"";""T"";4;3;""services"";""other"";""reputation"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;2;1;2;5;6;""12"";""12"";13",C000005,stats,0.30820317889619836,915,1
"GP;""M"";16;""U"";""LE3"";""T"";2;2;""other"";""other"";""home"";""mother"";1;2;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;4;4;1;1;3;0;""13"";""12"";13",C000006,recursion,0.3452154362114774,424,1
"GP;""F"";17;""U"";""GT3"";""A"";4;4;""other"";""teacher"";""home"";""mother"";2;2;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;1;4;1;1;1;2;""10"";""13"";13",C000007,ml,0.7150286383013472,734,0
"GP;""M"";15;""U"";""LE3"";""A"";3;2;""services"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;2;2;1;1;1;0;""15"";""16"";17",C000008,ai,0.6206077650176779,1067,0
"GP;""M"";15;""U"";""GT3"";""T"";3;4;""other"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;5;1;1;1;5;0;""12"";""12"";13",C000009,trees,0.7499464496819831,526,0
"GP;""F"";15;""U"";""GT3"";""T"";4;4;""teacher"";""health"";""reputation"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";3;3;3;1;2;2;2;""14"";""14"";14",C000010,graphs,0.8478994513545858,473,1
"GP;""F"";15;""U"";""GT3"";""T"";2;1;""services"";""other"";""reputation"";""father"";3;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;2;2;1;1;4;0;""10"";""12"";13",C000011,ai,0.6510897193952833,645,0
"GP;""M"";15;""U"";""LE3"";""T"";4;4;""health"";""services"";""course"";""father"";1;1;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;1;3;5;0;""12"";""13"";12",C000012,ai,0.7356725064431089,1053,0
"GP;""M"";15;""U"";""GT3"";""T"";4;3;""teacher"";""other"";""course"";""mother"";2;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";5;4;3;1;2;3;0;""12"";""12"";13",C000013,recursion,0.7542487212254736,631,0
"GP;""M"";15;""U"";""GT3"";""A"";2;2;""other"";""other"";""home"";""other"";1;3;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";4;5;2;1;1;3;0;""14"";""14"";15",C000014,dp,0.5267103295654719,394,1
"GP;""F"";16;""U"";""GT3"";""T"";4;4;""health"";""other"";""home"";""mother"";1;1;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;4;4;1;2;2;6;""17"";""17"";17",C000015,trees,0.44465089939777913,96,1
"GP;""F"";16;""U"";""GT3"";""T"";4;4;""services"";""services"";""reputation"";""mother"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";3;2;3;1;2;2;10;""13"";""13"";14",C000016,loops,0.42302719710391495,1048,0
"GP;""F"";16;""U"";""GT3"";""T"";3;3;""other"";""other"";""reputation"";""mother"";3;2;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";5;3;2;1;1;4;2;""13"";""14"";14",C000017,ai,0.4508654637070791,337,0
"GP;""M"";17;""U"";""GT3"";""T"";3;2;""services"";""services"";""course"";""mother"";1;1;3;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;5;5;2;4;5;2;""8"";""8"";7",C000018,dp,0.46483907821554526,975,1
"GP;""M"";16;""U"";""LE3"";""T"";4;3;""health"";""other"";""home"";""father"";1;1;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";3;1;3;1;3;5;6;""12"";""12"";12",C000019,loops,0.4243365894048339,543,1
"GP;""M"";15;""U"";""GT3"";""T"";4;3;""teacher"";""other"";""reputation"";""mother"";1;2;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;4;1;1;1;1;0;""12"";""13"";14",C000020,trees,0.8269324004875154,790,1
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""health"";""health"";""other"";""father"";1;1;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";5;4;2;1;1;5;0;""11"";""12"";12",C000021,arrays,0.7541994793033373,251,1
"GP;""M"";16;""U"";""LE3"";""T"";4;2;""teacher"";""other"";""course"";""mother"";1;2;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;5;1;1;3;5;0;""12"";""13"";14",C000022,stats,0.32813788067473193,1100,1
"GP;""M"";16;""U"";""LE3"";""T"";2;2;""other"";""other"";""reputation"";""mother"";2;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;4;2;4;5;2;""10"";""10"";10",C000023,dp,0.46120348921518445,583,1
"GP;""F"";15;""R"";""GT3"";""T"";2;4;""services"";""health"";""course"";""mother"";1;3;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;5;2;""10"";""11"";10",C000024,math,0.313310845218181,977,1
"GP;""F"";16;""U"";""GT3"";""T"";2;2;""services"";""services"";""home"";""mother"";1;1;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";1;2;2;1;3;5;6;""10"";""11"";12",C000025,arrays,0.5988991119875358,460,1
"GP;""M"";15;""U"";""GT3"";""T"";2;2;""other"";""other"";""home"";""mother"";1;1;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;2;2;1;2;5;8;""11"";""12"";12",C000026,stats,0.5857264180734085,945,1
"GP;""M"";15;""U"";""GT3"";""T"";4;2;""health"";""services"";""other"";""mother"";1;1;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";2;2;4;2;4;1;0;""11"";""11"";11",C000027,recursion,0.7988228940375008,764,0
"GP;""M"";16;""U"";""LE3"";""A"";3;4;""services"";""other"";""home"";""mother"";1;2;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""no"";5;3;3;1;1;5;2;""12"";""12"";13",C000028,ml,0.4846663438626297,81,0
"GP;""M"";16;""U"";""GT3"";""T"";4;4;""teacher"";""teacher"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";4;4;5;5;5;5;4;""12"";""11"";12",C000029,graphs,0.7898314411278374,533,0
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""health"";""services"";""home"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""no"";""yes"";""yes"";""no"";5;4;2;3;4;5;0;""10"";""11"";11",C000030,math,0.8807842592638939,269,1
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""services"";""services"";""reputation"";""mother"";2;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;1;1;1;5;2;""15"";""15"";15",C000031,recursion,0.35304493401938797,365,0
"GP;""M"";15;""R"";""GT3"";""T"";4;3;""teacher"";""at_home"";""course"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";4;5;2;1;1;5;0;""13"";""14"";15",C000032,trees,0.7750907036817798,763,1
"GP;""M"";15;""U"";""LE3"";""T"";3;3;""other"";""other"";""course"";""mother"";1;2;0;""no"";""no"";""no"";""yes"";""no"";""yes"";""yes"";""no"";5;3;2;1;1;2;0;""13"";""12"";12",C000033,recursion,0.6539735382825816,746,1
"GP;""M"";16;""U"";""GT3"";""T"";3;2;""other"";""other"";""home"";""mother"";1;1;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";5;4;3;1;1;5;4;""12"";""12"";12",C000034,ml,0.5880275802110851,344,0
"GP;""F"";15;""U"";""GT3"";""T"";2;3;""other"";""other"";""other"";""father"";2;1;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";3;5;1;1;1;5;4;""11"";""11"";11",C000035,trees,0.5523214671990451,775,1
"GP;""M"";15;""U"";""LE3"";""T"";4;3;""teacher"";""services"";""home"";""mother"";1;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;3;1;1;4;0;""14"";""14"";14",C000036,math,0.7708009583665858,822,0
"GP;""M"";16;""R"";""GT3"";""A"";4;4;""other"";""teacher"";""reputation"";""mother"";2;3;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";2;4;3;1;1;5;4;""13"";""13"";13",C000037,ml,0.6836168141845455,1007,0
"GP;""F"";15;""R"";""GT3"";""T"";3;4;""services"";""health"";""course"";""mother"";1;3;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;5;2;""11"";""12"";12",C000038,loops,0.7830268005116172,440,0
"GP;""F"";15;""R"";""GT3"";""T"";2;2;""at_home"";""other"";""reputation"";""mother"";1;1;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";4;3;1;1;1;2;8;""14"";""13"";12",C000039,graphs,0.8418906352059758,519,1
"GP;""F"";16;""U"";""LE3"";""T"";2;2;""other"";""other"";""home"";""mother"";2;2;0;""no"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";3;3;3;1;2;3;16;""11"";""11"";10",C000040,math,0.6703582272583752,1090,0
"GP;""M"";15;""U"";""LE3"";""T"";4;4;""teacher"";""other"";""home"";""other"";1;1;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""yes"";5;4;3;2;4;5;8;""10"";""11"";11",C000041,loops,0.8882776350554268,88,1
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""services"";""teacher"";""course"";""father"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;1;1;5;0;""14"";""15"";15",C000042,stats,0.6648527097251312,966,0
"GP;""M"";15;""U"";""GT3"";""T"";2;2;""services"";""services"";""course"";""father"";1;1;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";5;4;1;1;1;1;0;""9"";""10"";10",C000043,math,0.6819865929733696,1116,0
"GP;""F"";16;""U"";""LE3"";""T"";2;2;""other"";""at_home"";""course"";""father"";2;2;1;""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;2;2;5;14;""10"";""11"";11",C000044,stats,0.6328893651253354,938,0
"GP;""F"";15;""U"";""LE3"";""A"";4;3;""other"";""other"";""course"";""mother"";1;2;0;""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";""yes"";5;2;2;1;1;5;4;""10"";""11"";11",C000045,trees,0.35460125463079817,138,1
"GP;""F"";16;""U"";""LE3"";""A"";3;3;""other"";""services"";""home"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";2;3;5;1;4;3;6;""13"";""12"";13",C000046,loops,0.735838219590137,1006,1
"GP;""M"";16;""U"";""GT3"";""T"";4;3;""health"";""services"";""reputation"";""mother"";1;4;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;2;2;1;1;2;2;""17"";""17"";17",C000047,graphs,0.628467784139467,518,1
"GP;""M"";15;""U"";""GT3"";""T"";4;2;""teacher"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""no"";""no"";4;3;3;2;2;5;4;""11"";""12"";13",C000048,ml,0.5705462684496627,629,0
"GP;""F"";15;""U"";""GT3"";""T"";4;4;""services"";""teacher"";""other"";""father"";1;2;0;""yes"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""no"";4;4;4;1;1;3;2;""13"";""12"";12",C000049,ai,0.8462827670419639,797,0
"GP;""F"";16;""U"";""LE3"";""T"";2;2;""services"";""services"";""course"";""mother"";3;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;3;3;2;3;4;0;""14"";""13"";13",C000050,recursion,0.4787756709251703,575,1
"GP;""F"";15;""U"";""LE3"";""T"";4;2;""health"";""other"";""other"";""mother"";1;2;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;3;3;1;1;5;0;""16"";""14"";16",C000051,arrays,0.6141613656090068,1182,1
"GP;""M"";15;""U"";""LE3"";""A"";4;2;""health"";""health"";""other"";""father"";2;1;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""no"";""no"";5;5;5;3;4;5;4;""10"";""9"";9",C000052,graphs,0.718585122896078,456,1
"GP;""F"";15;""U"";""GT3"";""T"";4;4;""services"";""services"";""course"";""mother"";1;1;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";3;3;4;2;3;5;0;""13"";""12"";12",C000053,loops,0.7778830654043264,98,1
"GP;""F"";15;""U"";""LE3"";""A"";3;3;""other"";""other"";""other"";""mother"";1;1;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";5;3;4;4;4;1;0;""13"";""12"";13",C000054,ai,0.5756080847677035,946,1
"GP;""F"";16;""U"";""GT3"";""A"";2;1;""other"";""other"";""other"";""mother"";1;2;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";5;3;4;1;1;2;2;""12"";""13"";12",C000055,graphs,0.8052548490112259,856,1
"GP;""F"";15;""U"";""GT3"";""A"";4;3;""services"";""services"";""reputation"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;1;0;""15"";""14"";15",C000056,loops,0.7613506447892385,216,0
"GP;""M"";15;""U"";""GT3"";""T"";4;4;""teacher"";""health"";""reputation"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";3;2;2;1;1;5;8;""15"";""15"";16",C000057,dp,0.33974158671111954,1158,1
"GP;""M"";15;""U"";""LE3"";""T"";1;2;""other"";""at_home"";""home"";""father"";1;2;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;5;0;""14"";""13"";14",C000058,dp,0.3275167598427798,943,0
"GP;""F"";16;""U"";""GT3"";""T"";4;2;""services"";""other"";""course"";""mother"";1;2;0;""no"";""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";4;2;3;1;1;5;2;""16"";""15"";16",C000059,stats,0.6724834106532548,1033,0
"GP;""F"";16;""R"";""GT3"";""T"";4;4;""health"";""teacher"";""other"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""no"";""no"";2;4;4;2;3;4;0;""17"";""16"";16",C000060,graphs,0.5084480449352485,1167,1
"GP;""F"";16;""U"";""GT3"";""T"";1;1;""services"";""services"";""course"";""father"";4;1;0;""yes"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";5;5;5;5;5;5;0;""10"";""10"";16",C000061,dp,0.42547847464710853,1105,1
"GP;""F"";16;""U"";""LE3"";""T"";1;2;""other"";""services"";""reputation"";""father"";1;2;0;""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;4;3;1;1;1;0;""13"";""13"";10",C000062,loops,0.6477899606830431,908,0
"GP;""F"";16;""U"";""GT3"";""T"";4;3;""teacher"";""health"";""home"";""mother"";1;3;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";3;4;4;2;4;4;0;""14"";""13"";13",C000063,stats,0.5049379262739271,807,1
"GP;""F"";15;""U"";""LE3"";""T"";4;3;""services"";""services"";""reputation"";""father"";1;2;0;""yes"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""yes"";4;4;4;2;4;2;0;""13"";""12"";12",C000064,loops,0.6223580500284421,1048,1
"GP;""F"";16;""U"";""LE3"";""T"";4;3;""teacher"";""services"";""course"";""mother"";3;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";5;4;3;1;2;1;2;""16"";""15"";16",C000065,stats,0.5760714953901432,80,0
"GP;""M"";15;""U"";""GT3"";""A"";4;4;""other"";""services"";""reputation"";""mother"";1;4;0;""no"";""yes"";""no"";""yes"";""no"";""yes"";""yes"";""yes"";1;3;3;5;5;3;0;""11"";""12"";12",C000066,graphs,0.6508596635694922,362,0
"GP;""F"";16;""U"";""GT3"";""T"";3;1;""services"";""other"";""course"";""mother"";1;4;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;3;3;1;2;5;0;""10"";""9"";10",C000067,ai,0.5401802933461688,928,0
"GP;""F"";15;""R"";""LE3"";""T"";2;2;""health"";""services"";""reputation"";""mother"";2;2;0;""yes"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;1;3;1;3;4;0;""11"";""10"";11",C000068,ml,0.7186005442181591,143,1
"GP;""F"";15;""R"";""LE3"";""T"";3;1;""other"";""other"";""reputation"";""father"";2;4;0;""no"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""no"";4;4;2;2;3;3;6;""15"";""15"";15",C000069,math,0.4080403634095791,629,0
"GP;""M"";16;""U"";""GT3"";""T"";3;1;""other"";""other"";""reputation"";""father"";2;4;0;""no"";""yes"";""no"";""no"";""yes"";""yes"";""yes"";""no"";4;3;2;1;1;5;2;""13"";""11"";11",C000070,ai,0.7179008797362474,993,1
"GP;""M"";15;""U"";""GT3"";""T"";4;2;""other"";""other"";""course"";""mother"";1;4;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";3;3;3;1;1;3;0;""11"";""9"";10",C000071,trees,0.5469967286145169,1068,0
"GP;""F"";15;""R"";""GT3"";""T"";1;1;""other"";""other"";""reputation"";""mother"";1;2;0;""yes"";""yes"";""no"";""no"";""no"";""yes"";""yes"";""yes"";3;3;4;2;4;5;2;""13"";""11"";11",C000072,loops,0.8245905629126503,852,0
"GP;""M"";16;""U"";""GT3"";""T"";3;1;""other"";""other"";""reputation"";""mother"";1;1;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""no"";""no"";5;3;2;2;2;5;0;""13"";""13"";14",C000073,trees,0.6091416329185265,851,0
"GP;""F"";16;""U"";""GT3"";""T"";3;3;""other"";""services"";""home"";""mother"";1;2;0;""yes"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;2;4;5;4;""11"";""11"";11",C000074,ai,0.8838662095620626,551,1
"GP;""M"";15;""U"";""GT3"";""T"";4;3;""teacher"";""other"";""home"";""mother"";1;2;0;""no"";""yes"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";4;3;3;2;3;5;0;""11"";""11"";11",C000075,stats,0.6611612373245762,267,1
"GP;""M"";15;""U"";""GT3"";""T"";4;0;""teacher"";""other"";""course"";""mother"";2;4;0;""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";""no"";3;4;3;1;1;1;0;""12"";""11"";11",C000076,math,0.43430943954379236,1143,0
"GP;""F"";16;""U"";""GT3"";""T"";2;2;""other"";""other"";""reputation"";""mother"";1;4;0;""no"";""no"";""no"";""no"";""yes"";""yes"";""yes"";""yes"";5;2;3;1;3;3;1;""13"";""13"";13",C000077,math,0.7930743821066696,489,0
